original	new
1	65002
2	20001
3	20003
4	20004
5	20006
6	20005
7	20002
8	20007
9	20009
10	20010
11	20012
12	20011
13	20008
14	20013
15	20015
16	20016
17	20018
18	20017
19	20014
20	65004
21	65005
22	65006
23	65012
24	65013
25	65014
26	65022
27	65024
28	65023
5752	65025
7549	65032
7548	65033
8285	65038
9053	65041
10972	65045
11252	65046
12022	65062
12834	65065
29	40321
30	40570
31	41323
32	40363
33	40541
34	40542
35	42068
36	42083
37	42070
38	42256
39	42254
40	42255
41	42101
42	42115
43	43025
44	42082
45	43061
46	42135
47	42164
48	45220
49	45221
50	45222
51	45066
52	45072
53	45078
54	45219
55	45125
56	45217
57	45218
58	45115
59	45093
60	44026
61	44032
62	44041
63	44064
64	46232
65	46233
66	46134
67	46136
68	46235
69	46237
70	46236
71	46158
72	46234
73	46176
74	46154
75	46817
76	47201
77	47203
78	47215
79	47225
80	30405
81	30502
82	30491
83	30417
84	30401
85	30503
86	30504
87	30505
88	30492
89	30493
90	30506
91	30507
92	30425
80	30405
93	30460
94	30494
95	30466
96	30495
96	30495
96	30495
97	30428
98	30402
99	30457
100	30406
101	30497
102	30498
103	30419
104	30459
105	30449
105	30449
105	30449
106	30508
107	30434
108	30461
109	30509
92	30425
110	30418
111	30458
112	30435
113	30473
114	30430
115	30426
116	30500
117	30501
118	30452
119	30468
120	30450
121	30496
122	30429
123	30424
124	30471
125	30475
126	30451
127	30499
128	30431
129	30439
130	30407
131	30470
132	30453
133	30472
134	30454
135	30440
136	30436
137	30469
138	30447
139	30448
140	30444
141	30443
142	30445
143	30427
144	30437
145	30438
146	30442
147	30441
148	30446
149	33863
150	30476
151	30477
152	30480
153	31004
154	31005
155	31008
156	31052
157	31013
155	31008
158	31015
159	31048
160	31009
161	31046
162	31051
162	31051
162	31051
163	31040
164	31014
165	31045
166	31002
167	31012
168	31047
169	31019
170	31050
171	31058
172	31041
172	31041
172	31041
173	31037
174	31007
175	31044
176	31010
177	31049
178	31017
179	31020
180	31057
181	31042
182	31043
163	31040
183	31006
184	31055
185	31059
186	31003
187	31024
178	31017
188	31039
189	31018
190	31054
191	31029
192	31028
193	31030
194	31011
195	31056
196	31038
197	31025
198	31060
199	31021
200	31053
201	31035
202	31036
203	31032
204	31031
205	31033
206	31061
207	31022
208	31023
209	31027
210	31026
211	31063
212	31034
213	31062
214	31067
215	31409
216	31401
217	31403
218	31407
219	31405
220	31402
221	31451
222	31404
223	31452
224	31408
225	31453
226	31462
226	31462
226	31462
227	31461
228	31416
229	31458
230	31413
231	31454
232	31419
233	31422
234	31457
235	31417
236	31450
236	31450
236	31450
237	31446
238	31425
239	31455
240	31424
241	31456
242	31414
243	31423
244	31463
245	31445
246	31449
247	31444
248	31448
249	31466
250	31467
251	31430
252	31420
253	31429
254	31443
255	31435
256	31434
257	31436
258	31426
259	31465
260	31421
261	31431
262	31418
263	31447
264	31464
265	31459
266	31460
267	31441
268	31442
269	31438
270	31437
271	31439
272	31415
273	31427
274	31428
275	31433
276	31432
277	31468
278	31440
279	31469
280	31473
281	31816
282	31810
283	31806
282	31810
284	31811
285	31815
286	31807
287	31851
288	31803
289	31857
290	31858
290	31858
290	31858
291	31845
292	31817
293	31859
294	31819
295	31827
296	31853
297	31809
298	31856
299	31822
300	31849
300	31849
300	31849
301	31847
302	31828
303	31854
304	31825
305	31855
306	31823
307	31813
308	31864
291	31845
309	31848
306	31823
310	31826
311	31863
312	31865
313	31801
314	31824
315	31805
316	31833
317	31846
318	31860
319	31837
320	31836
321	31838
322	31829
323	31861
324	31821
325	31802
292	31817
326	31830
327	31862
328	31843
329	31844
330	31840
331	31839
332	31841
333	31820
334	31831
335	31832
336	31835
337	31834
338	31866
339	31842
340	31867
341	31868
342	31871
343	32204
344	32254
345	32201
346	32205
347	32203
348	32207
349	32202
350	32249
351	32206
352	32248
353	32209
354	32250
355	32242
356	32255
356	32255
356	32255
357	32208
358	32253
359	32219
360	32215
361	32252
362	32261
355	32242
355	32242
355	32242
363	32223
364	32212
365	32247
366	32226
367	32251
368	32222
369	32224
370	32259
371	32243
372	32244
373	32241
374	32214
375	32256
376	32262
359	32219
377	32245
368	32222
378	32216
379	32225
380	32258
381	32233
382	32232
383	32234
384	32221
385	32260
386	32220
387	32229
388	32263
389	32217
390	32257
391	32239
392	32240
393	32236
394	32235
395	32237
378	32216
396	32227
397	32228
398	32230
399	32231
400	32264
401	32238
402	32265
403	32268
404	32401
404	32401
405	32403
406	32402
407	32420
405	32403
408	32423
406	32402
407	32420
409	32411
407	32420
410	32404
411	32422
412	32424
413	32425
414	32418
415	32410
416	32432
417	32408
418	32426
419	32409
420	32428
421	32419
422	32405
423	32429
424	32406
425	32431
426	32407
427	32427
428	32412
429	32430
430	32416
431	32415
432	32417
433	32413
434	32414
435	32433
436	32611
437	32601
438	32607
439	32613
440	32639
441	32602
442	32635
443	32609
444	32638
439	32613
440	32639
445	32629
446	32646
446	32646
446	32646
447	32603
443	32609
444	32638
448	32619
436	32611
449	32604
450	32636
445	32629
445	32629
445	32629
451	32631
452	32610
453	32637
454	32640
455	32641
456	32616
457	32605
458	32648
459	32630
460	32632
461	32644
462	32645
463	32649
464	32620
456	32616
465	32618
466	32624
451	32631
467	32625
468	32617
469	32647
449	32604
470	32606
471	32622
472	32642
473	32643
474	32627
475	32650
476	32628
477	32651
478	32621
479	32623
480	32626
481	32652
