level	venture	duration	exp	cost	gathering	items
Lv. 1	Field Exploration I	18h	4000	2	None	Allagan Bronze Piece, Honey, Ram Horn
Lv. 5	Field Exploration II	18h	21000	2	None	Allagan Bronze Piece, Animal Hide, Bat Fang, Peach Confetti
Lv. 10	Field Exploration III	18h	39333	2	1	Allagan Bronze Piece, Antelope Horn, Bat Wing, Cherry Confetti, Dodo Egg, Dodo Tenderloin, Yellow Yarzon Leg
Lv. 15	Field Exploration IV	18h	67778	2	1	Aldgoat Skin, Allagan Bronze Piece, Dodo Feather
Lv. 20	Field Exploration V	18h	80857	2	10	Acidic Secretions, Aldgoat Horn, Allagan Bronze Piece, Dexterity Materia I, Intelligence Materia I, Mind Materia I, Piety Materia I, Strength Materia I, Vitality Materia I
Lv. 25	Field Exploration VI	18h	100211	2	10	Allagan Bronze Piece, Battledance Materia I, Blue Yarzon Leg, Heavens' Eye Materia I, Morbol Vine, Night Milk, Sandworm Fang, Savage Aim Materia I, Savage Might Materia I
Lv. 30	Field Exploration VII	18h	135417	2	10	Allagan Bronze Piece, Boar Hide, Fleece
Lv. 35	Field Exploration VIII	18h	160221	2	20	Allagan Bronze Piece, Dexterity Materia II, Intelligence Materia II, Mind Materia II, Ochu Vine, Piety Materia II, Raptor Sinew, Strength Materia II, Vitality Materia II
Lv. 40	Field Exploration IX	18h	190588	2	20	Allagan Bronze Piece, Apkallu Down, Apkallu Egg, Basilisk Egg, Battledance Materia II, Buffalo Sirloin, Heavens' Eye Materia II, Savage Aim Materia II, Savage Might Materia II
Lv. 45	Field Exploration X	18h	209333	2	30	Allagan Bronze Piece, Craftsman's Command Materia III, Craftsman's Competence Materia III, Dexterity Materia III, Gysahl Ring, Intelligence Materia III, Mind Materia III, Piety Materia III, Raptor Skin, Strength Materia III, Vitality Materia III
Lv. 50	Field Exploration XI	18h	288000	2	50	Allagan Silver Piece, Canard Breast, Chinchilla Hide, Hippogryph Skin, Prickly Pineapple
Lv. 50	Field Exploration XII	18h	288000	2	60	Allagan Silver Piece, Coeurl Meat, Hippogryph Skin, Mossy Stone Claws, Mossy Stone Greatsword, Mossy Stone Spear, Mossy Stone Sword
Lv. 50	Field Exploration XIII	18h	288000	2	70	Coeurl Meat, Hippogryph Skin, Light Steel Plate, Minute Mindflayer, Saurian Skin, Taffeta Cloth, Tawny Latex
Lv. 50	Field Exploration XIV	18h	288000	2	80	Coeurl Meat, Coeurl Skin, Hippogryph Skin, Mossy Stone Claws, Mossy Stone Spear, Mossy Stone Sword, Tiny Tapir
Lv. 50	Field Exploration XV	18h	288000	2	90	Allagan Silver Piece, Dodore Wing, Hippogryph Skin, Tawny Latex, Tiny Tapir, Uraeus Skin
Lv. 50	Field Exploration XVI	18h	288000	2	100	Allagan Silver Piece, Dodore Wing, Hippogryph Skin, Mossy Horn, Saurian Skin, Tawny Latex, Uraeus Skin
Lv. 51	Field Exploration XVII	18h	422400	2	110	Allagan Silver Piece, Bearskin, Blue Fox Hide, Dodore Wing, Mossy Stone Greatsword, Saurian Skin, Taffeta Cloth, Tawny Latex
Lv. 55	Field Exploration XVIII	18h	998400	2	126	Allagan Silver Piece, Bearskin, Blue Fox Hide, Dodore Wing, Iron Giant Scrap, Mossy Stone Greatsword, Saurian Skin, Taffeta Cloth, Tawny Latex
Lv. 60	Field Exploration XIX	18h	1490000	2	170	Allagan Silver Piece, Amphiptere Leather, Chimerical Felt, Crawler Silk, Grade 1 Strength Dissolvent, Grade 1 Vitality Dissolvent, Iron Giant Scrap, Tiny Tapir, Wing Glue
Lv. 61	Field Exploration XX	18h	1772000	2	245	Allagan Silver Piece, Bombfish Spine, Bom Boko, Gagana Egg, Gagana Skin, Hornbill Tenderloin, Moth Scales, Muud Suud Horn, Rhino Beetle Carapace
Lv. 65	Field Exploration XXI	18h	2858333	2	266	Allagan Silver Piece, Dzo Chuck, Dzo Horn, Gazelle Horn, Gyuki Hide, Halgai Mane, Steppe Milk, Tiger Skin
Lv. 70	Field Exploration XXII	18h	Information Needed	2	280	Allagan Silver Piece, Bom Boko, Dzo Chuck, Gagana Egg, Gagana Skin, Gyuki Hide, Halgai Mane, Tengu Doll, Tiger Skin
Lv. 1	Highland Exploration I	18h	4000	2	None	Allagan Bronze Piece, Copper Ore, Fire Shard, Lightning Shard, Muddy Water
Lv. 5	Highland Exploration II	18h	21000	2	None	Allagan Bronze Piece, Fire Shard, Lightning Shard, Raw Lapis Lazuli, Raw Sunstone
Lv. 10	Highland Exploration III	18h	39333	2	30	Allagan Bronze Piece, Fine Sand, Iron Ore, Rock Salt, Sunset Orange Dye, Ul'dahn Sparkler
Lv. 15	Highland Exploration IV	18h	67778	2	45	Allagan Bronze Piece, Craftsman's Competence Materia I, Gatherer's Guerdon Materia I, Magicked Prism (Indigo Star), Mudstone, Raw Danburite, Shale Brown Dye, Sunrise Tellin
Lv. 20	Highland Exploration V	18h	80857	2	65	Allagan Bronze Piece, Gatherer's Guile Materia I, Ice Rock, Lightning Rock, Plum Purple Dye, Silver Sand, Sunset Orange Dye, Ul'dahn Sparkler
Lv. 25	Highland Exploration VI	18h	100211	2	87	Allagan Bronze Piece, Bomb Ash, Brimstone, Lime Green Dye, Magicked Prism (Indigo Star), Seafog Blue Dye, Silex
Lv. 30	Highland Exploration VII	18h	135417	2	99	Allagan Bronze Piece, Craftsman's Competence Materia II, Gatherer's Guerdon Materia II, Kobold Brown Dye, Raw Garnet, Raw Heliodor, Raw Peridot, Storm Blue Dye, Ul'dahn Sparkler
Lv. 35	Highland Exploration VIII	18h	160221	2	109	Allagan Bronze Piece, Coeurl Yellow Dye, Craftsman's Command Materia II, Gatherer's Guile Materia II, Grenade Ash, Magicked Prism (Indigo Star), Raw Tourmaline, Seafog Blue Dye
Lv. 40	Highland Exploration IX	18h	190588	2	120	Allagan Bronze Piece, Electrum Sand, Gatherer's Grasp Materia II, Millioncorn Yellow Dye, Raw Rubellite, Raw Turquoise, Ul'dahn Sparkler, Woad Blue Dye
Lv. 45	Highland Exploration X	18h	209333	2	133	Adamantoise Shell, Allagan Bronze Piece, Basilisk Egg, Craftsman's Command Materia III, Craftsman's Competence Materia III, Craftsman's Cunning Materia III, Gatherer's Grasp Materia III, Gatherer's Guerdon Materia III, Gatherer's Guile Materia III
Lv. 50	Highland Exploration XI	18h	288000	2	230	Allagan Silver Piece, Blue Fox Hide, Darksteel Ore, Gold Ore, Gold Sand, Star Anise, Volcanic Rock Salt
Lv. 50	Highland Exploration XII	18h	288000	2	238	Allagan Silver Piece, Astral Rock, Darksteel Ore, Gold Sand, Mossy Stone Staff, Volcanic Rock Salt
Lv. 50	Highland Exploration XIII	18h	288000	2	285	Allagan Silver Piece, Gold Sand, Light Steel Plate, Minute Mindflayer, Taffeta Cloth, Volcanic Rock Salt
Lv. 50	Highland Exploration XIV	18h	288000	2	286	Allagan Silver Piece, Darksteel Ore, Gold Ore, Miniature Minecart, Mossy Stone Bow, Mossy Stone Daggers, Nymeia Lily, Volcanic Rock Salt
Lv. 50	Highland Exploration XV	18h	288000	2	292	Allagan Silver Piece, Ferberite, Grade 3 Thanalan Topsoil, Native Gold, Raw Ruby, Volcanic Rock Salt
Lv. 50	Highland Exploration XVI	18h	288000	2	294	Allagan Silver Piece, Ferberite, Native Gold, Raw Ruby, Scheelite, Volcanic Rock Salt
Lv. 51	Highland Exploration XVII	18h	422400	2	311	Allagan Silver Piece, Ferberite, Raw Diamond, Raw Emerald, Raw Iolite, Raw Topaz, Scheelite, Umbral Rock
Lv. 55	Highland Exploration XVIII	18h	998400	2	388	Allagan Silver Piece, Antumbral Rock, Pumice, Raw Diamond, Steel Mainspring, Umbral Rock, Virgin Basilisk Egg
Lv. 60	Highland Exploration XIX	18h	1490000	2	486	Abalathian Rock Salt, Adamantite Nugget, Adamantite Ore, Allagan Silver Piece, Aurum Regis Nugget, Chrysolite, Hardsilver Nugget, Odder Otter, Red Quartz, Steel Mainspring
Lv. 61	Highland Exploration XX	18h	1772000	2	700	Allagan Silver Piece, Koppranickel Ore, Odder Otter, Raw Kyanite, Raw Star Spinel, Raw Triphane
Lv. 65	Highland Exploration XXI	18h	2858333	2	739	Allagan Silver Piece, Durium Ore, Durium Sand, Molybdenum Ore, Odder Otter, Raw Azurite, Raw Imperial Jade, Raw Rhodonite
Lv. 70	Highland Exploration XXII	18h	Information Needed	2	805	Ala Mhigan Salt Crystal, Allagan Silver Piece, Mameshiba, Odder Otter, Raw Azurite, Raw Imperial Jade, Raw Kyanite, Raw Star Spinel, Raw Triphane
Lv. 1	Woodland Exploration I	18h	4000	2	None	Allagan Bronze Piece, Beehive Chip, Cinnamon, Earth Shard, Wind Shard
Lv. 5	Woodland Exploration II	18h	21000	2	None	Allagan Bronze Piece, Ash Log, Cloves, Cock Feather, Earth Shard, Kukuru Bean
Lv. 10	Woodland Exploration III	18h	39333	2	30	Allagan Bronze Piece, Coerthan Carrot, Coeurl Yellow Dye, Cotton Boll, Gridanian Sparkler, Lavender
Lv. 15	Woodland Exploration IV	18h	67778	2	45	Allagan Bronze Piece, Ochu Green Dye, Paprika, Yew Branch
Lv. 20	Woodland Exploration V	18h	80857	2	65	Allagan Bronze Piece, Gridanian Sparkler, Kobold Brown Dye, Pearl Ginger, Pixie Plums, Raptor Blue Dye
Lv. 25	Woodland Exploration VI	18h	100211	2	87	Allagan Bronze Piece, Chocobo Feather, Magicked Prism (Emerald Star), Marsh Green Dye
Lv. 30	Woodland Exploration VII	18h	135417	2	99	Aldgoat Brown Dye, Gatherer's Guile Materia II, Mandrake, Oak Branch, Plum Purple Dye, Wildfowl Feather
Lv. 35	Woodland Exploration VIII	18h	160221	2	109	Allagan Bronze Piece, Almonds, Blood Currant, Gatherer's Grasp Materia II, Magicked Prism (Emerald Star), Maiden Artichoke
Lv. 40	Woodland Exploration IX	18h	190588	2	120	Allagan Bronze Piece, Black Scorpion, Craftsman's Competence Materia II, Deepwood Green Dye, Gridanian Sparkler, Rolanberry, Sagolii Sage
Lv. 45	Woodland Exploration X	18h	209333	2	133	Allagan Bronze Piece, Craftsman's Command Materia III, Craftsman's Competence Materia III, Craftsman's Cunning Materia III, Gatherer's Grasp Materia III, Gatherer's Guerdon Materia III, Gatherer's Guile Materia III, Lava Toad, Rosewood Branch
