node_id	times	uptime	coords	area	type
211	9	180	28, 13	Providence Point	Unspoiled
212	13	180	26, 22	Dragonhead	Unspoiled
213	17	180	7, 11	Whitebrim	Unspoiled
214	9	180	30, 27	Bloodshore	Unspoiled
215	1, 5, 9	180	32, 11	North Silvertear	Unspoiled
216	1	180	22, 26	Little Solace	Unspoiled
217	5	180	17, 19	The Bramble Patch	Unspoiled
218	21	180	13, 23	The Honey Yard	Unspoiled
219	5	180	28, 32	Bloodshore	Unspoiled
220	13	180	16, 27	Raincatcher Gully	Unspoiled
221	13	180	12, 15	Drybone	Unspoiled
222	1	180	27, 19	Haldrath's March	Unspoiled
223	9	180	28, 22	Burgundy Falls	Unspoiled
224	17	180	18, 32	Raincatcher Gully	Unspoiled
225	21	180	23, 26	Dragonhead	Unspoiled
226	5	180	25, 23	Yugr'am River	Unspoiled
227	13, 17, 21	180	27, 10	North Silvertear	Unspoiled
230	3	180	16, 28	Alder Springs	Unspoiled
231	9	180	19, 16	Summerford	Unspoiled
232	7	180	29, 25	Bronze Lake	Unspoiled
233	2	180	15, 19	Sorrel Haven	Unspoiled
234	8	180	34, 28	Quarterstone	Unspoiled
235	6	180	32, 11	Cedarwood	Unspoiled
236	3	180	17, 20	Raubahn's Push	Unspoiled
237	4	180	25, 16	Lost Hope	Unspoiled
238	18	180	23, 21	Moraby Bay	Unspoiled
239	19	180	24, 27	Zephyr Drift	Unspoiled
240	6	180	18, 31	Rootslake	Unspoiled
241	5	180	19, 28	Hammerlea	Unspoiled
242	2	180	18, 23	Upper Paths	Unspoiled
245	6	180	30, 21	Naked Rock	Unspoiled
246	2	180	26, 18	Wellwick Wood	Unspoiled
247	4	180	17, 9	Broken Water	Unspoiled
248	4	180	23, 26	Zephyr Drift	Unspoiled
249	10	180	24, 31	Bentbranch	Unspoiled
250	1	180	17, 26	Raincatcher Gully	Unspoiled
251	17	180	23, 30	Nine Ivies	Unspoiled
252	17	180	23, 22	Bluefog	Unspoiled
289	2, 14	120	10, 10	Dragonspit	Legendary
290	8, 20	120	17, 29, 1	Quickspill Delta	Legendary
291	6, 18	120	5, 17	Hyperstellar Downconverter	Legendary
292	0, 12	120	8, 29	The Answering Quarter	Legendary
293	4, 16	120	8, 31	Antithesis	Legendary
299	10, 22	120	12, 37, 2	Greensward	Legendary
301	6, 18	120	34, 30, 1	Chocobo Forest	Legendary
305	20	240	21, 28	Red Rim	Ephemeral
307	4	240	17, 27	Avalonia Fallen	Ephemeral
309	8	240	26, 24	The Makers' Quarter	Ephemeral
311	12	240	29, 19	Landlord Colony	Ephemeral
313	16	240	34, 30	Voor Sian Siran	Ephemeral
315	4, 16	120	29, 24	Black Iron Bridge	Unspoiled
316	8, 20	120	27, 17	Loth ast Vath	Unspoiled
